PROP,ABRV,MICRO
align-content,aln-cot,a-cot
align-items,aln-its,a-it
align-self,aln-sef,a-sef
alignment-baseline,alt-bae,al-bae
all,all,all
animation,ann,an
animation-delay,ann-dey,an-de
animation-direction,ann-din,an-di
animation-duration,ann-dun,an-du
animation-fill-mode,ann-fil-moe,an-fi-mo
animation-iteration-count,ann-itn-cot,an-itn-cot
animation-name,ann-nae,an-na
animation-play-state,ann-ply-ste,an-ply-s
animation-timing-function,ann-tig-fun,an-ti-fu
appearance,ape,ap
azimuth,azh,az
backface-visibility,bae-viy,bae-vi
background,bad,ba
background-attachment,bad-att,ba-at
background-blend-mode,bad-bld-moe,ba-bld-mo
background-clip,bad-clp,ba-cl
background-color,bad-cor,ba-c
background-image,bad-ime,ba-i
background-origin,bad-orn,ba-or
background-position,bad-pon,ba-po
background-repeat,bad-ret,ba-re
background-size,bad-sie,ba-si
baseline-shift,bae-sht,bae-sht
block-step,blk-stp,bl-stp
block-step-align,blk-stp-aln,bl-stp-a
block-step-insert,blk-stp-int,bl-stp-int
block-step-round,blk-stp-rod,bl-stp-rod
block-step-size,blk-stp-sie,bl-stp-si
bookmark-label,bok-lal,bok-lal
bookmark-level,bok-lel,bok-lel
bookmark-state,bok-ste,bok-s
border,bor,b
border-bottom,bor-bom,b-bo
border-bottom-color,bor-bom-cor,b-bo-c
border-bottom-left-radius,bor-bom-let-ras,b-bo-l-ra
border-bottom-right-radius,bor-bom-rit-ras,b-bo-r-ra
border-bottom-style,bor-bom-ste,b-bo-s
border-bottom-width,bor-bom-wih,b-bo-w
border-boundary,bor-boy,b-boy
border-collapse,bor-coe,b-coe
border-color,bor-cor,b-c
border-image,bor-ime,b-i
border-image-outset,bor-ime-out,b-i-out
border-image-repeat,bor-ime-ret,b-i-re
border-image-slice,bor-ime-sle,b-i-sl
border-image-source,bor-ime-soe,b-i-so
border-image-width,bor-ime-wih,b-i-w
border-left,bor-let,b-l
border-left-color,bor-let-cor,b-l-c
border-left-style,bor-let-ste,b-l-s
border-left-width,bor-let-wih,b-l-w
border-radius,bor-ras,b-ra
border-right,bor-rit,b-r
border-right-color,bor-rit-cor,b-r-c
border-right-style,bor-rit-ste,b-r-s
border-right-width,bor-rit-wih,b-r-w
border-spacing,bor-spg,b-spg
border-style,bor-ste,b-s
border-top,bor-top,b-to
border-top-color,bor-top-cor,b-to-c
border-top-left-radius,bor-top-let-ras,b-to-l-ra
border-top-right-radius,bor-top-rit-ras,b-to-r-ra
border-top-style,bor-top-ste,b-to-s
border-top-width,bor-top-wih,b-to-w
border-width,bor-wih,b-w
bottom,bom,bo
box-decoration-break,box-den-brk,box-d-br
box-shadow,box-shw,box-shw
box-sizing,box-sig,box-sig
box-snap,box-snp,box-sn
break-after,brk-afr,br-af
break-before,brk-bee,br-be
break-inside,brk-ine,br-in
caption-side,can-sie,can-si
caret,cat,ca
caret-animation,cat-ann,ca-an
caret-color,cat-cor,ca-c
caret-shape,cat-she,ca-sh
chains,chs,ch
clear,clr,clr
clip,clp,cl
clip-path,clp-pah,cl-pah
clip-rule,clp-rue,cl-ru
color,cor,c
color-adjust,cor-adt,c-ad
color-interpolation-filters,cor-inn-fis,c-inn-fis
column-count,con-cot,co-cot
column-fill,con-fil,co-fi
column-gap,con-gap,co-ga
column-rule,con-rue,co-ru
column-rule-color,con-rue-cor,co-ru-c
column-rule-style,con-rue-ste,co-ru-s
column-rule-width,con-rue-wih,co-ru-w
column-span,con-spn,co-spn
column-width,con-wih,co-w
columns,cos,cos
contain,con,co
content,cot,cot
continue,coe,coe
counter-increment,cor-int,c-int
counter-reset,cor-ret,c-re
counter-set,cor-set,c-se
cue,cue,cu
cue-after,cue-afr,cu-af
cue-before,cue-bee,cu-be
cursor,cur,cur
direction,din,di
display,diy,diy
dominant-baseline,dot-bae,do-bae
elevation,eln,el
empty-cells,emy-ces,emy-ce
filter,fir,fir
flex,flx,fl
flex-basis,flx-bas,fl-bas
flex-direction,flx-din,fl-di
flex-flow,flx-flw,fl-flw
flex-grow,flx-grw,fl-gr
flex-shrink,flx-shk,fl-shk
flex-wrap,flx-wrp,fl-wr
float,flt,flt
float-defer,flt-der,flt-der
float-offset,flt-oft,flt-o
float-reference,flt-ree,flt-ree
flood-color,fld-cor,fld-c
flood-opacity,fld-opy,fld-op
flow,flw,flw
flow-from,flw-frm,flw-fr
flow-into,flw-ino,flw-ino
font,fot,f
font-family,fot-fay,f-fa
font-feature-settings,fot-fee-ses,f-fe-ses
font-kerning,fot-keg,f-ke
font-language-override,fot-lae-ove,f-lae-ove
font-size,fot-sie,f-si
font-size-adjust,fot-sie-adt,f-si-ad
font-stretch,fot-sth,f-sth
font-style,fot-ste,f-s
font-synthesis,fot-sys,f-sy
font-variant,fot-vat,f-va
font-variant-alternates,fot-vat-als,f-va-als
font-variant-caps,fot-vat-cas,f-va-cas
font-variant-east-asian,fot-vat-eat-asn,f-va-ea-as
font-variant-ligatures,fot-vat-lis,f-va-lis
font-variant-numeric,fot-vat-nuc,f-va-nu
font-variant-position,fot-vat-pon,f-va-po
